,V_p,A_p,theta,airspeed
237,1880.0,1752.0,-0.288956,12.0
238,1884.0,1749.0,-0.294657,12.0
239,1881.0,1746.0,-0.299969,12.0
240,1883.0,1747.0,-0.304932,12.0
241,1881.0,1748.0,-0.308589,12.0
242,1874.0,1744.0,-0.311691,12.0
243,1871.0,1734.0,-0.315319,12.0
244,1874.0,1743.0,-0.321377,12.0
245,1878.0,1748.0,-0.326393,12.0
246,1874.0,1742.0,-0.32462,12.0
247,1873.0,1744.0,-0.322757,12.0
248,1871.0,1740.0,-0.322494,12.0
249,1871.0,1743.0,-0.329046,12.0
250,1872.0,1749.0,-0.333754,12.0
251,1867.0,1740.0,-0.333529,12.0
252,1872.0,1744.0,-0.336425,12.0
253,1869.0,1745.0,-0.339877,12.0
254,1869.0,1745.0,-0.340064,12.0
255,1856.0,1739.0,-0.342114,12.0
256,1869.0,1744.0,-0.345158,12.0
257,1866.0,1741.0,-0.347243,12.0
258,1867.0,1741.0,-0.349937,12.0
259,1862.0,1741.0,-0.353547,12.0
260,1868.0,1746.0,-0.354764,12.0
261,1867.0,1748.0,-0.354612,12.0
262,1866.0,1741.0,-0.353235,12.0
263,1861.0,1739.0,-0.352329,12.0
264,1860.0,1736.0,-0.355687,12.0
265,1860.0,1739.0,-0.359715,12.0
266,1860.0,1741.0,-0.363021,12.0
267,1859.0,1739.0,-0.361395,12.0
268,1862.0,1746.0,-0.359439,12.0
269,1861.0,1741.0,-0.359047,12.0
270,1857.0,1733.0,-0.358658,12.0
271,1856.0,1739.0,-0.359001,12.0
272,1861.0,1743.0,-0.358419,12.0
273,1863.0,1745.0,-0.356758,12.0
274,1864.0,1749.0,-0.354373,12.0
275,1868.0,1750.0,-0.349572,12.0
276,1863.0,1747.0,-0.349328,12.0
277,1869.0,1750.0,-0.349246,12.0
278,1872.0,1756.0,-0.347309,12.0
279,1866.0,1762.0,-0.342355,12.0
280,1871.0,1755.0,-0.338551,12.0
281,1870.0,1756.0,-0.332995,12.0
282,1873.0,1757.0,-0.332813,12.0
283,1875.0,1760.0,-0.332313,12.0
284,1873.0,1761.0,-0.327517,12.0
285,1880.0,1762.0,-0.323978,12.0
286,1879.0,1764.0,-0.320335,12.0
287,1877.0,1763.0,-0.315832,12.0
288,1881.0,1768.0,-0.313032,12.0
289,1881.0,1766.0,-0.311148,12.0
290,1879.0,1768.0,-0.306135,12.0
291,1879.0,1763.0,-0.301702,12.0
292,1886.0,1771.0,-0.299325,12.0
293,1888.0,1778.0,-0.295928,12.0
294,1888.0,1776.0,-0.290683,12.0
295,1887.0,1778.0,-0.284728,12.0
296,1887.0,1774.0,-0.277637,12.0
297,1883.0,1773.0,-0.276401,12.0
298,1886.0,1773.0,-0.276268,12.0
299,1887.0,1774.0,-0.275625,12.0
300,1877.0,1767.0,-0.27253,12.0
301,1889.0,1774.0,-0.270073,12.0
302,1891.0,1776.0,-0.267344,12.0
303,1893.0,1779.0,-0.263866,12.0
304,1890.0,1779.0,-0.260622,12.0
305,1893.0,1778.0,-0.256603,12.0
306,1882.0,1769.0,-0.254791,12.0
307,1892.0,1778.0,-0.254108,12.0
308,1891.0,1777.0,-0.250828,12.0
309,1894.0,1782.0,-0.246628,12.0
310,1896.0,1778.0,-0.242797,12.0
311,1891.0,1777.0,-0.240488,12.0
312,1890.0,1780.0,-0.238877,12.0
313,1898.0,1784.0,-0.237688,12.0
314,1900.0,1784.0,-0.23687,12.0
315,1886.0,1777.0,-0.232616,12.0
316,1898.0,1791.0,-0.227984,12.0
317,1899.0,1790.0,-0.224853,12.0
318,1901.0,1790.0,-0.221228,12.0
319,1897.0,1788.0,-0.219539,12.0
320,1900.0,1792.0,-0.217517,12.0
321,1907.0,1796.0,-0.213039,12.0
322,1902.0,1795.0,-0.207881,12.0
323,1905.0,1796.0,-0.204214,12.0
324,1902.0,1795.0,-0.203957,12.0
325,1905.0,1801.0,-0.203145,12.0
326,1906.0,1802.0,-0.198135,12.0
327,1905.0,1798.0,-0.194167,12.0
328,1908.0,1805.0,-0.190843,12.0
329,1905.0,1799.0,-0.187417,12.0
330,1902.0,1798.0,-0.185281,12.0
331,1905.0,1802.0,-0.183089,12.0
332,1906.0,1808.0,-0.179678,12.0
333,1910.0,1810.0,-0.175201,12.0
334,1913.0,1814.0,-0.171892,12.0
335,1914.0,1816.0,-0.16878,12.0
336,1912.0,1816.0,-0.164848,12.0
337,1913.0,1821.0,-0.160691,12.0
338,1916.0,1821.0,-0.156123,12.0
339,1910.0,1815.0,-0.154296,12.0
340,1918.0,1823.0,-0.153013,12.0
341,1918.0,1828.0,-0.150888,12.0
342,1926.0,1832.0,-0.145593,12.0
343,1922.0,1831.0,-0.141905,12.0
344,1919.0,1829.0,-0.139536,12.0
345,1918.0,1830.0,-0.135651,12.0
346,1925.0,1835.0,-0.132278,12.0
347,1923.0,1837.0,-0.130085,12.0
348,1922.0,1841.0,-0.125334,12.0
349,1917.0,1841.0,-0.119532,12.0
350,1924.0,1842.0,-0.115041,12.0
351,1925.0,1840.0,-0.111923,12.0
352,1930.0,1848.0,-0.108546,12.0
353,1925.0,1852.0,-0.103763,12.0
354,1927.0,1858.0,-0.098658,12.0
355,1930.0,1862.0,-0.091734,12.0
356,1933.0,1862.0,-0.085445,12.0
357,1932.0,1869.0,-0.078951,12.0
358,1933.0,1872.0,-0.071518,12.0
359,1932.0,1872.0,-0.064909,12.0
360,1930.0,1874.0,-0.060147,12.0
361,1932.0,1877.0,-0.055736,12.0
362,1935.0,1882.0,-0.050144,12.0
363,1928.0,1878.0,-0.04565,12.0
364,1933.0,1888.0,-0.041272,12.0
365,1932.0,1889.0,-0.036732,12.0
366,1930.0,1885.0,-0.030273,12.0
367,1934.0,1896.0,-0.024606,12.0
368,1932.0,1896.0,-0.018873,12.0
369,1931.0,1903.0,-0.013638,12.0
370,1927.0,1905.0,-0.00758,12.0
371,1932.0,1910.0,-0.000161,12.0
372,1939.0,1911.0,0.005724,12.0
373,1939.0,1915.0,0.009128,12.0
374,1938.0,1921.0,0.01333,12.0
375,1927.0,1915.0,0.021671,12.0
376,1935.0,1929.0,0.028492,12.0
377,1939.0,1932.0,0.035217,12.0
378,1934.0,1934.0,0.041009,12.0
379,1935.0,1939.0,0.046456,12.0
380,1930.0,1939.0,0.05186,12.0
381,1927.0,1941.0,0.05853,12.0
382,1925.0,1945.0,0.066031,12.0
383,1920.0,1949.0,0.072685,12.0
384,1923.0,1952.0,0.078008,12.0
385,1916.0,1954.0,0.083294,12.0
386,1917.0,1958.0,0.088128,12.0
387,1912.0,1953.0,0.093669,12.0
388,1915.0,1964.0,0.098549,12.0
389,1914.0,1962.0,0.103805,12.0
390,1904.0,1966.0,0.108059,12.0
391,1904.0,1967.0,0.111464,12.0
