time,V_p,A_p,theta,airspeed
462.86300000000006,2070.0,2163.0,0.132959,17.70990735470492
462.86699999999996,2069.294117647073,2164.6470588234965,0.13271100000000496,17.661583430000007
462.88,2067.0,2170.0,0.131905,17.700846618823523
462.884,2067.7500000000055,2171.0000000000073,0.13210000000000138,17.712927600000015
462.89599999999996,2070.0,2174.0,0.132685,17.64044171294127
462.90099999999995,2069.117647058827,2174.882352941173,0.13370058823529005,17.610239260000014
462.913,2067.0,2177.0,0.136138,17.64874738750001
462.91700000000003,2065.117647058808,2177.0,0.13657541176470955,17.661583430000007
462.92999999999995,2059.0,2177.0,0.137997,17.779372996470297
462.93399999999997,2060.75,2176.75,0.1380555,17.815615940000015
462.946,2066.0,2176.0,0.138231,17.5619153352937
462.951,2064.2352941176423,2175.117647058821,0.13846600000000062,17.456206750000007
462.96299999999997,2060.0,2173.0,0.13903,17.57173113249974
462.967,2060.2352941176473,2173.470588235295,0.13883682352941143,17.610239260000014
462.98,2061.0,2175.0,0.138209,17.806555204117554
462.98400000000004,2063.7500000000196,2173.2499999999877,0.1380394999999988,17.866960110000008
462.996,2072.0,2168.0,0.137531,17.72198833588252
463.001,2066.7058823529624,2167.7058823529424,0.13701894117647262,17.661583430000007
463.01300000000003,2054.0,2167.0,0.13579,17.353518410000007
463.01700000000005,2055.4117647058943,2169.3529411764903,0.13595917647058964,17.250830070000006
463.03,2060.0,2177.0,0.136509,17.447146014117155
463.034,2061.647058823532,2177.2352941176473,0.13698029411764784,17.507550920000014
463.047,2067.0,2178.0,0.138512,17.429024542352995
463.05100000000004,2063.249999999973,2174.499999999975,0.13829249999999843,17.404862580000014
463.063,2052.0,2164.0,0.137634,17.404862580000014
463.068,2055.8235294117494,2166.9411764705765,0.13715958823529603,17.404862580000014
463.08000000000004,2065.0,2174.0,0.136021,17.404862580000014
463.08399999999995,2065.4705882352846,2174.0,0.1361605294117619,17.404862580000014
463.097,2067.0,2174.0,0.136614,17.208546635882463
463.101,2067.25,2174.25,0.13658125000000002,17.148141730000006
463.11300000000006,2068.0,2175.0,0.136483,17.220627617058952
463.11800000000005,2067.4117647058806,2174.4117647058806,0.13582947058823353,17.250830070000006
463.13,2066.0,2173.0,0.134261,17.443370707499557
463.134,2066.0,2172.2941176470576,0.13439182352941198,17.507550920000014
463.14700000000005,2066.0,2170.0,0.134817,17.42902454235247
463.15099999999995,2066.0,2170.4999999999895,0.13501224999999584,17.404862580000014
463.163,2066.0,2172.0,0.135598,17.513591410588425
463.168,2066.882352941179,2173.4705882352982,0.13547447058823495,17.558895090000007
463.17999999999995,2069.0,2177.0,0.135178,17.404862580000373
463.18399999999997,2068.2941176470576,2176.2941176470576,0.13536694117647088,17.353518410000007
463.197,2066.0,2174.0,0.135981,17.314255221176502
463.201,2064.8235294117626,2173.0588235294103,0.13582547058823502,17.302174240000014
463.21400000000006,2061.0,2170.0,0.13532,17.027331918233607
463.21799999999996,2061.0,2171.249999999973,0.13507500000000522,16.942765050000006
463.23,2061.0,2175.0,0.13434,17.30519448529473
463.235,2061.882352941179,2174.7058823529405,0.1341599999999995,17.456206750000007
463.24699999999996,2064.0,2174.0,0.133728,17.49471487749992
463.251,2064.470588235295,2174.9411764705897,0.1336407058823528,17.507550920000014
463.264,2066.0,2178.0,0.133357,17.429024542352995
463.26800000000003,2064.749999999991,2176.9999999999927,0.13337975000000016,17.404862580000014
463.28,2061.0,2174.0,0.133448,17.368619636470637
463.28499999999997,2061.0,2174.5882352941153,0.13432417647058473,17.353518410000007
463.297,2061.0,2176.0,0.136427,17.392026537500012
463.30100000000004,2060.5294117647018,2176.0,0.13664605882353123,17.404862580000014
463.31399999999996,2059.0,2176.0,0.137358,17.247809824706298
463.318,2061.25,2175.25,0.136801,17.199485900000013
463.33000000000004,2068.0,2173.0,0.13513,17.23572884352948
463.33500000000004,2066.2352941176423,2171.5294117647018,0.13458323529411617,17.250830070000006
463.347,2062.0,2168.0,0.133271,17.36635445249974
463.351,2063.647058823532,2168.7058823529424,0.1331455882352939,17.404862580000014
